precinct,raceName,name,votePercentage
1006,"District Judge, 144th Judicial District (Unexpired Term)",Melisa Skinner ,26.06%
1006,"District Judge, 144th Judicial District (Unexpired Term)",Michael Mery ,73.94%
1006,"District Judge, 386th Judicial District",Daphne Previti Austin ,22.72%
1006,"District Judge, 386th Judicial District","Jacqueline ""Jackie"" Vald",77.28%
1006,"District Judge, 399th Judicial District",Walden Shelton ,21.80%
1006,"District Judge, 399th Judicial District",Frank J. Castro ,78.20%
1006,"District Judge, 407th Judicial District",Stephani Walsh ,23.05%
1006,"District Judge, 407th Judicial District",Tina Torres ,76.95%
1006,Sheriff,"Gerard C. ""Gerry"" Rickhoff ",20.28%
1006,Sheriff,Javier Salazar ,79.54%
1006,Sheriff,Write-In Totals ,0.18%
1006,County Tax Assessor-Collector,Stephen David Pennington ,22.32%
1006,County Tax Assessor-Collector,Albert Uresti ,77.68%
1006,"County Commissioner, Precinct No. 1",Gabriel Lara ,23.84%
1006,"County Commissioner, Precinct No. 1","Rebeca ""Becky"" Clay-Flores ",76.16%
1006,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,76.08%
1006,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,23.92%
1006,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,82.37%
1006,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,17.63%
1006,Advanced Transportation District - Proposition A,FOR ,69.72%
1006,Advanced Transportation District - Proposition A,AGAINST ,30.28%
1006,SAN ANTONIO ISD - PROPOSITION A,FOR ,70.10%
1006,SAN ANTONIO ISD - PROPOSITION A,AGAINST ,29.90%
1006,SAN ANTONIO ISD - PROPOSITION B,FOR ,71.57%
1006,SAN ANTONIO ISD - PROPOSITION B,AGAINST ,28.43%
1007,President and Vice President,Donald J. Trump ,23.69%
1007,President and Vice President,Joseph R. Biden ,75.80%
1007,President and Vice President,Jo Jorgensen ,0.51%
1007,President and Vice President,Howie Hawkins ,0.00%
1007,President and Vice President,Write-In Totals ,0.00%
1007,United States Senator,John Cornyn ,24.70%
1007,United States Senator,"Mary ""MJ"" Hegar ",72.62%
1007,United States Senator,Kerry Douglas McKennon ,1.34%
1007,United States Senator,David B. Collins ,1.34%
1007,United States Senator,Write-In Totals ,0.00%
1007,"United States Representative, District 20",Mauro Garza ,21.18%
1007,"United States Representative, District 20",Joaquin Castro ,77.76%
1007,"United States Representative, District 20",Jeffrey Blunt ,1.05%
1007,Railroad Commissioner,"James ""Jim"" Wright ",22.53%
1007,Railroad Commissioner,Chrysta Casta,75.33%
1007,Railroad Commissioner,Matt Sterett ,1.73%
1007,Railroad Commissioner,"Katija ""Kat"" Gruene ",0.40%
1007,"Chief Justice, Supreme Court",Nathan Hecht ,22.18%
1007,"Chief Justice, Supreme Court",Amy Clark Meachum ,75.94%
1007,"Chief Justice, Supreme Court",Mark Ash ,1.88%
1007,"Justice, Supreme Court, Place 6 (Unexpired Term)",Jane Bland ,22.18%
1007,"Justice, Supreme Court, Place 6 (Unexpired Term)",Kathy Cheng ,77.82%
